Symbol,Market,Date,Open,High,Low,Close,Volume
CQP,NYSEAMERICAN,2021/04/12 16:00:00,41.48,41.77,41.16,41.42,101834
CQP,NYSEAMERICAN,2021/04/13 16:00:00,41.34,41.77,40.95,41.57,94209
CQP,NYSEAMERICAN,2021/04/14 16:00:00,41.88,42.14,41.49,41.87,158986
CQP,NYSEAMERICAN,2021/04/15 16:00:00,41.81,42,41.51,41.68,93362
CQP,NYSEAMERICAN,2021/04/16 16:00:00,41.66,41.86,41.2,41.57,109505
CQP,NYSEAMERICAN,2021/04/19 16:00:00,41.57,41.84,41.21,41.36,63914
CQP,NYSEAMERICAN,2021/04/20 16:00:00,41.16,41.49,40.3,40.95,119889
CQP,NYSEAMERICAN,2021/04/21 16:00:00,40.88,41.58,40.48,41.08,192682
CQP,NYSEAMERICAN,2021/04/22 16:00:00,41.24,41.24,39.51,39.97,98288
IMO,NYSEAMERICAN,2021/04/12 16:00:00,24.75,25.64,24.73,25.44,731272
IMO,NYSEAMERICAN,2021/04/13 16:00:00,25.49,25.65,24.91,25.27,542729
IMO,NYSEAMERICAN,2021/04/14 16:00:00,25.38,26,25.38,25.78,851606
IMO,NYSEAMERICAN,2021/04/15 16:00:00,25.86,25.86,25.33,25.57,375329
IMO,NYSEAMERICAN,2021/04/16 16:00:00,25.7,25.95,25.51,25.54,491271
IMO,NYSEAMERICAN,2021/04/19 16:00:00,25.63,25.82,25.29,25.37,334850
IMO,NYSEAMERICAN,2021/04/20 16:00:00,25.24,25.31,24.58,24.82,545066
IMO,NYSEAMERICAN,2021/04/21 16:00:00,24.53,25.51,24.53,25.51,400113
IMO,NYSEAMERICAN,2021/04/22 16:00:00,25.56,25.56,24.78,24.97,388667
LNG,NYSEAMERICAN,2021/04/12 16:00:00,73.96,73.96,72.02,72.2,861962
LNG,NYSEAMERICAN,2021/04/13 16:00:00,72.26,73.66,71.94,72.5,865902
LNG,NYSEAMERICAN,2021/04/14 16:00:00,73.21,74.74,72.91,73.75,707261
LNG,NYSEAMERICAN,2021/04/15 16:00:00,74.89,74.89,73.28,74.58,672279
LNG,NYSEAMERICAN,2021/04/16 16:00:00,74.88,75.03,73.97,73.97,634399
LNG,NYSEAMERICAN,2021/04/19 16:00:00,74.34,75.38,74,74.65,691145
LNG,NYSEAMERICAN,2021/04/20 16:00:00,74.43,74.73,72.88,73.22,902062
LNG,NYSEAMERICAN,2021/04/21 16:00:00,73.15,74,72.99,73.54,559353
LNG,NYSEAMERICAN,2021/04/22 16:00:00,73.42,73.82,72.7,72.72,1139973
BTG,NYSEAMERICAN,2021/04/12 16:00:00,4.73,4.73,4.63,4.68,4631206
BTG,NYSEAMERICAN,2021/04/13 16:00:00,4.73,4.84,4.71,4.79,4737210
BTG,NYSEAMERICAN,2021/04/14 16:00:00,4.81,4.81,4.66,4.68,4556605
BTG,NYSEAMERICAN,2021/04/15 16:00:00,4.78,5.02,4.77,4.98,10780223
BTG,NYSEAMERICAN,2021/04/16 16:00:00,5.09,5.11,4.95,5.11,8876266
BTG,NYSEAMERICAN,2021/04/19 16:00:00,5.15,5.17,4.94,4.96,8549655
BTG,NYSEAMERICAN,2021/04/20 16:00:00,4.98,5.12,4.93,5.12,9078482
BTG,NYSEAMERICAN,2021/04/21 16:00:00,5.16,5.28,5.1,5.26,8176099
BTG,NYSEAMERICAN,2021/04/22 16:00:00,5.22,5.25,5.07,5.13,7492685
SEB,NYSEAMERICAN,2021/04/12 16:00:00,3860,3862.63,3750.11,3799.99,813
SEB,NYSEAMERICAN,2021/04/13 16:00:00,3779,3803,3727.15,3764.49,785
SEB,NYSEAMERICAN,2021/04/14 16:00:00,3777.62,3789,3660,3736.22,1242
SEB,NYSEAMERICAN,2021/04/15 16:00:00,3696.45,3807,3676,3725.55,675
SEB,NYSEAMERICAN,2021/04/16 16:00:00,3734,3784.98,3700,3768.92,1700
SEB,NYSEAMERICAN,2021/04/19 16:00:00,3755,3784.44,3719.82,3761.1,652
SEB,NYSEAMERICAN,2021/04/20 16:00:00,3773,3785,3708,3747.99,1091
SEB,NYSEAMERICAN,2021/04/21 16:00:00,3747.99,3765,3654,3720,1647
SEB,NYSEAMERICAN,2021/04/22 16:00:00,3733,3750,3616,3683.7,1468
NG,NYSEAMERICAN,2021/04/12 16:00:00,9.35,9.35,9.09,9.1,444739
NG,NYSEAMERICAN,2021/04/13 16:00:00,9.2,9.47,9.15,9.44,725035
NG,NYSEAMERICAN,2021/04/14 16:00:00,9.39,9.49,9.31,9.38,723669
NG,NYSEAMERICAN,2021/04/15 16:00:00,9.5,9.78,9.5,9.73,1144555
NG,NYSEAMERICAN,2021/04/16 16:00:00,9.9,9.91,9.57,9.63,686764
NG,NYSEAMERICAN,2021/04/19 16:00:00,9.53,9.56,9.35,9.46,635630
NG,NYSEAMERICAN,2021/04/20 16:00:00,9.38,9.64,9.32,9.63,709091
NG,NYSEAMERICAN,2021/04/21 16:00:00,9.67,9.86,9.57,9.85,803331
NG,NYSEAMERICAN,2021/04/22 16:00:00,9.84,9.94,9.66,9.79,941931
EQX,NYSEAMERICAN,2021/04/12 16:00:00,9.31,9.31,8.44,8.49,2015818
EQX,NYSEAMERICAN,2021/04/13 16:00:00,8.61,9.02,8.58,8.87,1664287
EQX,NYSEAMERICAN,2021/04/14 16:00:00,8.85,8.87,8.52,8.59,1177860
EQX,NYSEAMERICAN,2021/04/15 16:00:00,8.82,9.11,8.72,8.92,1965787
EQX,NYSEAMERICAN,2021/04/16 16:00:00,9.02,9.06,8.84,9,1598805
EQX,NYSEAMERICAN,2021/04/19 16:00:00,9.07,9.07,8.69,8.77,1122705
EQX,NYSEAMERICAN,2021/04/20 16:00:00,8.76,8.79,8.64,8.74,1160976
EQX,NYSEAMERICAN,2021/04/21 16:00:00,8.77,9.12,8.74,8.98,1896575
EQX,NYSEAMERICAN,2021/04/22 16:00:00,8.94,8.95,8.71,8.75,932067
PRK,NYSEAMERICAN,2021/04/12 16:00:00,129.58,131.86,129.58,130.75,13638
PRK,NYSEAMERICAN,2021/04/13 16:00:00,129.84,129.84,126.73,126.97,38126
PRK,NYSEAMERICAN,2021/04/14 16:00:00,126.98,130.14,126.98,128.82,26026
PRK,NYSEAMERICAN,2021/04/15 16:00:00,129.7,129.7,126.17,128.76,27541
PRK,NYSEAMERICAN,2021/04/16 16:00:00,130.91,130.91,127.27,129.97,29432
PRK,NYSEAMERICAN,2021/04/19 16:00:00,128.4,129.14,126.69,128.13,33871
PRK,NYSEAMERICAN,2021/04/20 16:00:00,127.59,128.99,122.63,122.87,30007
PRK,NYSEAMERICAN,2021/04/21 16:00:00,123.54,126.4,123,125.99,24152
PRK,NYSEAMERICAN,2021/04/22 16:00:00,125.07,125.37,123.47,124.36,20244
GSAT,NYSEAMERICAN,2021/04/12 16:00:00,1.31,1.31,1.19,1.23,8946118
GSAT,NYSEAMERICAN,2021/04/13 16:00:00,1.17,1.2,1.08,1.11,15733616
GSAT,NYSEAMERICAN,2021/04/14 16:00:00,1.09,1.13,1.09,1.11,8202347
GSAT,NYSEAMERICAN,2021/04/15 16:00:00,1.11,1.13,1.01,1.02,15210854
GSAT,NYSEAMERICAN,2021/04/16 16:00:00,0.91,1.02,0.9,1.02,12822291
GSAT,NYSEAMERICAN,2021/04/19 16:00:00,0.92,1.01,0.89,0.9,16718788
GSAT,NYSEAMERICAN,2021/04/20 16:00:00,0.91,0.91,0.85,0.87,8352093
GSAT,NYSEAMERICAN,2021/04/21 16:00:00,0.85,0.9,0.82,0.89,10674689
GSAT,NYSEAMERICAN,2021/04/22 16:00:00,0.92,0.95,0.89,0.91,13075869
MAG,NYSEAMERICAN,2021/04/12 16:00:00,17.3,17.3,16.64,16.77,424354
MAG,NYSEAMERICAN,2021/04/13 16:00:00,17.12,17.47,16.98,17.02,472994
MAG,NYSEAMERICAN,2021/04/14 16:00:00,17,17.05,16.51,16.52,565904
MAG,NYSEAMERICAN,2021/04/15 16:00:00,16.82,17.57,16.77,17.31,470681
MAG,NYSEAMERICAN,2021/04/16 16:00:00,17.6,17.67,17.25,17.51,489109
MAG,NYSEAMERICAN,2021/04/19 16:00:00,17.42,17.55,17.14,17.38,384855
MAG,NYSEAMERICAN,2021/04/20 16:00:00,17.33,17.67,17.15,17.56,371393
MAG,NYSEAMERICAN,2021/04/21 16:00:00,17.69,18.48,17.64,18.43,523724
MAG,NYSEAMERICAN,2021/04/22 16:00:00,18.28,18.45,17.86,17.99,443746
NXE,NYSEAMERICAN,2021/04/12 16:00:00,3.92,3.94,3.63,3.81,2302894
NXE,NYSEAMERICAN,2021/04/13 16:00:00,3.81,3.91,3.73,3.76,1001623
NXE,NYSEAMERICAN,2021/04/14 16:00:00,3.75,3.88,3.71,3.75,1147457
NXE,NYSEAMERICAN,2021/04/15 16:00:00,3.77,3.78,3.58,3.74,1383216
NXE,NYSEAMERICAN,2021/04/16 16:00:00,3.75,3.78,3.58,3.7,780410
NXE,NYSEAMERICAN,2021/04/19 16:00:00,3.59,3.68,3.45,3.6,2198737
NXE,NYSEAMERICAN,2021/04/20 16:00:00,3.62,3.67,3.43,3.65,1259538
NXE,NYSEAMERICAN,2021/04/21 16:00:00,3.69,3.78,3.6,3.67,1431047
NXE,NYSEAMERICAN,2021/04/22 16:00:00,3.68,3.72,3.53,3.6,1171400
SILV,NYSEAMERICAN,2021/04/12 16:00:00,9.44,9.44,8.34,8.44,1502430
SILV,NYSEAMERICAN,2021/04/13 16:00:00,8.56,8.9,8.55,8.71,519680
SILV,NYSEAMERICAN,2021/04/14 16:00:00,8.64,8.64,8.49,8.5,522023
SILV,NYSEAMERICAN,2021/04/15 16:00:00,8.6,9.2,8.56,9.12,894999
SILV,NYSEAMERICAN,2021/04/16 16:00:00,9.2,9.22,8.9,9.08,870479
SILV,NYSEAMERICAN,2021/04/19 16:00:00,9.01,9.08,8.69,8.81,560847
SILV,NYSEAMERICAN,2021/04/20 16:00:00,8.78,9,8.66,8.99,594544
SILV,NYSEAMERICAN,2021/04/21 16:00:00,9,9.4,8.95,9.4,907752
SILV,NYSEAMERICAN,2021/04/22 16:00:00,9.29,9.3,8.81,8.85,1062595
NGD,NYSEAMERICAN,2021/04/12 16:00:00,1.76,1.84,1.76,1.82,4168919
NGD,NYSEAMERICAN,2021/04/13 16:00:00,1.84,1.89,1.81,1.81,4125267
NGD,NYSEAMERICAN,2021/04/14 16:00:00,1.81,1.83,1.78,1.78,4191511
