Symbol,Market,Date,Open,High,Low,Close,Volume
HYFM,NASDAQ,2021/04/12 16:00:00,61.8,61.99,56.91,59.79,390901
HYFM,NASDAQ,2021/04/13 16:00:00,59.93,61.26,58.2,59.03,222328
HYFM,NASDAQ,2021/04/14 16:00:00,60,60.47,57.13,57.48,277659
HYFM,NASDAQ,2021/04/15 16:00:00,58.63,59.26,56.35,57.42,287840
HYFM,NASDAQ,2021/04/16 16:00:00,57.69,61.14,55.53,60.09,560792
HYFM,NASDAQ,2021/04/19 16:00:00,58.32,60.82,58.05,60.27,346887
HYFM,NASDAQ,2021/04/20 16:00:00,59.5,61.4,56.8,59.54,639122
HYFM,NASDAQ,2021/04/21 16:00:00,58.89,64.81,58.22,64.12,331589
HYFM,NASDAQ,2021/04/22 16:00:00,63.88,67.42,63.49,64.8,316417
TTGT,NASDAQ,2021/04/12 16:00:00,72.58,72.58,70.75,71.9,114667
TTGT,NASDAQ,2021/04/13 16:00:00,72.42,73.24,71.52,73.13,153566
TTGT,NASDAQ,2021/04/14 16:00:00,72.89,75.06,72.89,74.21,138553
TTGT,NASDAQ,2021/04/15 16:00:00,75.3,75.86,74.26,75.72,137379
TTGT,NASDAQ,2021/04/16 16:00:00,76,76,73.98,75,107844
TTGT,NASDAQ,2021/04/19 16:00:00,74.65,74.65,71.6,73.73,250195
TTGT,NASDAQ,2021/04/20 16:00:00,73.03,74.01,70.65,71.53,215326
TTGT,NASDAQ,2021/04/21 16:00:00,70.93,73.32,70.48,73.15,115905
TTGT,NASDAQ,2021/04/22 16:00:00,73.49,76.14,73.25,75.05,217420
WW,NASDAQ,2021/04/12 16:00:00,29.75,30.25,28.98,29.47,1030512
WW,NASDAQ,2021/04/13 16:00:00,29.31,29.47,28.49,29.11,1273673
WW,NASDAQ,2021/04/14 16:00:00,29.12,30.16,29.11,30,1068555
WW,NASDAQ,2021/04/15 16:00:00,29.96,30.1,28.13,28.82,1462373
WW,NASDAQ,2021/04/16 16:00:00,29.15,29.45,28.25,29.1,1054594
WW,NASDAQ,2021/04/19 16:00:00,28.9,29.21,28.65,28.91,898572
WW,NASDAQ,2021/04/20 16:00:00,28.75,29.1,27.87,29,1429298
WW,NASDAQ,2021/04/21 16:00:00,28.83,29.74,28.5,29.4,705151
WW,NASDAQ,2021/04/22 16:00:00,29.48,29.57,28.82,29.01,518085
REAL,NASDAQ,2021/04/12 16:00:00,23.6,23.87,22.88,23.66,890538
REAL,NASDAQ,2021/04/13 16:00:00,24.03,24.1,23.18,23.82,1069663
REAL,NASDAQ,2021/04/14 16:00:00,24.06,24.33,23.15,23.35,1020151
REAL,NASDAQ,2021/04/15 16:00:00,23.85,24,23.13,23.66,969507
REAL,NASDAQ,2021/04/16 16:00:00,23.43,24,22.7,23.94,1161877
REAL,NASDAQ,2021/04/19 16:00:00,23.89,24.27,22.87,23.12,1162876
REAL,NASDAQ,2021/04/20 16:00:00,22.86,23.01,21.62,22.3,1281358
REAL,NASDAQ,2021/04/21 16:00:00,22.03,23.01,21.91,22.87,1156790
REAL,NASDAQ,2021/04/22 16:00:00,23.06,23.67,22.84,22.95,1368653
SASR,NASDAQ,2021/04/12 16:00:00,43.5,43.77,43.33,43.74,58179
SASR,NASDAQ,2021/04/13 16:00:00,43.77,43.77,42.74,42.78,131191
SASR,NASDAQ,2021/04/14 16:00:00,42.87,43.85,42.83,43.37,104108
SASR,NASDAQ,2021/04/15 16:00:00,43.61,43.61,42.33,43.21,98549
SASR,NASDAQ,2021/04/16 16:00:00,43.44,44.1,43.31,43.61,109284
SASR,NASDAQ,2021/04/19 16:00:00,43.54,44.23,43.03,43.45,114329
SASR,NASDAQ,2021/04/20 16:00:00,43.32,43.35,41.92,42.2,190063
SASR,NASDAQ,2021/04/21 16:00:00,42.52,43.18,41.97,43.07,125651
SASR,NASDAQ,2021/04/22 16:00:00,43.09,43.1,42.35,42.41,111801
CVCO,NASDAQ,2021/04/12 16:00:00,222.16,225.78,222.14,224.32,17621
CVCO,NASDAQ,2021/04/13 16:00:00,222.37,223.75,220.02,222.78,19798
CVCO,NASDAQ,2021/04/14 16:00:00,224.59,227.08,222.31,223.1,26829
CVCO,NASDAQ,2021/04/15 16:00:00,223.14,223.14,216.29,217.5,26010
CVCO,NASDAQ,2021/04/16 16:00:00,220.38,225.72,218.87,224.02,65228
CVCO,NASDAQ,2021/04/19 16:00:00,222.79,225.17,220,221.3,21537
CVCO,NASDAQ,2021/04/20 16:00:00,222.2,222.96,214.23,215.37,48384
CVCO,NASDAQ,2021/04/21 16:00:00,216.6,217.76,213.15,214.26,51320
CVCO,NASDAQ,2021/04/22 16:00:00,213.7,216.66,212.68,214.4,55375
NGM,NASDAQ,2021/04/12 16:00:00,25.2,25.39,24.3,24.53,233045
NGM,NASDAQ,2021/04/13 16:00:00,24.6,25.26,24.26,24.43,71051
NGM,NASDAQ,2021/04/14 16:00:00,24.35,26.08,24.35,25.8,139608
NGM,NASDAQ,2021/04/15 16:00:00,26.13,27.19,25.63,26.07,92902
NGM,NASDAQ,2021/04/16 16:00:00,26.15,26.45,25.36,26.15,74449
NGM,NASDAQ,2021/04/19 16:00:00,26.07,26.99,25.87,26.09,151926
NGM,NASDAQ,2021/04/20 16:00:00,26.04,26.1,24.39,25.79,119776
NGM,NASDAQ,2021/04/21 16:00:00,25.87,27.4,25.63,26.85,99180
NGM,NASDAQ,2021/04/22 16:00:00,26.91,28.58,26.52,27.06,104006
BCRX,NASDAQ,2021/04/12 16:00:00,10.15,10.16,9.34,9.5,3607182
